id,user_Id,clip_id,gamesession_Id,game_name,event_name,created_at,join_at
556784158,2844164,134463515475,100738061.0,World of Warcraft,,2023-06-01 12:20:56,2023-03-10 23:27:14
556784256,2844164,134464540455,100738061.0,World of Warcraft,,2023-06-01 12:20:57,2023-03-10 23:27:14
556784354,2844164,134466310875,100738061.0,World of Warcraft,,2023-06-01 12:21:00,2023-03-10 23:27:14
556784452,2844164,134468205535,100738061.0,World of Warcraft,,2023-06-01 12:21:00,2023-03-10 23:27:14
556784550,2844164,134469370285,100738061.0,World of Warcraft,,2023-06-01 12:21:01,2023-03-10 23:27:14
556784648,2844164,134470573860,100738061.0,World of Warcraft,,2023-06-01 12:21:02,2023-03-10 23:27:14
556784746,2844164,134472515110,100738061.0,World of Warcraft,,2023-06-01 12:21:04,2023-03-10 23:27:14
556786804,4632428,134317331585,102723200.0,Other Games,Moment,2023-06-01 12:26:56,2022-12-17 14:04:23
556792194,2844164,134482493135,101179626.0,World of Warcraft,,2023-06-01 13:03:22,2023-03-10 23:27:14
556792292,2844164,134487416145,101179626.0,World of Warcraft,,2023-06-01 13:03:24,2023-03-10 23:27:14
556792390,2844164,134488355710,101179626.0,World of Warcraft,,2023-06-01 13:03:25,2023-03-10 23:27:14
556792488,2844164,134489155505,101179626.0,World of Warcraft,,2023-06-01 13:03:26,2023-03-10 23:27:14
556792586,2844164,134489800000,101179626.0,World of Warcraft,,2023-06-01 13:03:27,2023-03-10 23:27:14
556792782,2844164,134490623090,101179626.0,World of Warcraft,,2023-06-01 13:03:28,2023-03-10 23:27:14
556809246,4898038,134532165840,103158843.0,Other Games,Moment,2023-06-01 14:59:47,2023-03-17 02:17:14
556820614,2189691,134559118155,103224690.0,Other Games,Moment,2023-06-01 16:33:26,2023-05-16 04:02:14
556821104,2189691,134560081015,103224690.0,Other Games,Moment,2023-06-01 16:40:20,2023-05-16 04:02:14
556821398,692081,134304519335,102690347.0,SMITE,Kills,2023-06-01 16:41:55,2023-03-05 06:33:09
556821496,692081,134304705695,102690347.0,SMITE,Kills,2023-06-01 16:42:08,2023-03-05 06:33:09
556821594,692081,134304775580,102690347.0,SMITE,Kills,2023-06-01 16:42:15,2023-03-05 06:33:09
556821692,692081,134304845465,102690347.0,SMITE,Kills,2023-06-01 16:42:19,2023-03-05 06:33:09
556829434,2573209,134575642075,102734574.0,Other Games,,2023-06-01 18:11:18,2023-02-27 17:16:31
